,views
2017-04-20,329.529403
2017-04-21,305.505004
2017-04-22,305.705686
2017-04-23,322.993075
2017-04-24,346.709919
2017-04-25,308.628707
2017-04-26,304.019702
2017-04-27,305.834794
2017-04-28,292.26183
2017-04-29,294.905261
2017-04-30,308.992345
2017-05-01,326.418182
2017-05-02,316.030533
2017-05-03,312.66011
2017-05-04,305.095614
2017-05-05,295.350148
2017-05-06,303.201032
2017-05-07,308.171115
2017-05-08,320.906771
2017-05-09,311.759982
2017-05-10,307.592257
2017-05-11,311.630618
2017-05-12,294.69757
2017-05-13,293.107184
2017-05-14,296.392326
2017-05-15,319.88648
2017-05-16,312.294084
2017-05-17,313.522516
2017-05-18,315.059793
2017-05-19,301.07028
2017-05-20,302.476054
2017-05-21,303.022912
2017-05-22,351.586519
2017-05-23,323.414361
2017-05-24,304.605372
2017-05-25,298.104452
2017-05-26,281.195186
2017-05-27,279.221044
2017-05-28,289.438446
2017-05-29,310.742133
2017-05-30,303.38948
2017-05-31,329.72126
2017-06-01,298.893201
2017-06-02,275.492081
2017-06-03,284.76354
2017-06-04,294.051458
2017-06-05,309.820046
2017-06-06,301.370607
2017-06-07,295.415465
2017-06-08,302.730717
2017-06-09,295.70466
2017-06-10,296.401686
2017-06-11,301.086676
2017-06-12,302.913804
2017-06-13,287.810895
2017-06-14,265.501863
2017-06-15,260.184541
2017-06-16,256.303845
2017-06-17,253.149027
2017-06-18,263.504749
2017-06-19,278.887486
2017-06-20,274.732906
2017-06-21,278.604928
2017-06-22,263.562533
2017-06-23,256.390561
2017-06-24,248.335446
2017-06-25,259.702801
2017-06-26,269.782381
2017-06-27,267.178847
2017-06-28,271.371208
2017-06-29,269.955135
2017-06-30,255.152893
2017-07-01,251.113551
2017-07-02,262.759066
2017-07-03,276.752749
2017-07-04,276.125733
2017-07-05,274.928027
2017-07-06,272.902694
2017-07-07,263.677095
2017-07-08,259.629246
2017-07-09,269.660149
2017-07-10,286.394398
2017-07-11,280.352973
2017-07-12,277.498898
2017-07-13,275.330196
2017-07-14,263.506947
2017-07-15,259.565043
2017-07-16,273.444832
2017-07-17,282.921555
2017-07-18,274.251071
2017-07-19,268.25762
2017-07-20,268.135952
2017-07-21,263.364412
2017-07-22,257.689887
2017-07-23,275.721851
2017-07-24,283.730949
2017-07-25,279.221877
2017-07-26,283.09467
2017-07-27,268.777584
2017-07-28,261.121331
2017-07-29,253.334814
2017-07-30,268.179748
2017-07-31,276.207251
2017-08-01,271.014717
2017-08-02,271.124566
2017-08-03,265.175395
2017-08-04,254.277386
2017-08-05,248.469563
2017-08-06,266.6851
2017-08-07,277.401388
2017-08-08,275.279647
2017-08-09,272.586388
2017-08-10,267.093959
2017-08-11,259.785253
2017-08-12,255.146117
2017-08-13,277.088196
2017-08-14,284.181085
2017-08-15,275.748423
2017-08-16,271.87067
2017-08-17,265.175804
2017-08-18,258.461102
2017-08-19,248.534933
2017-08-20,268.556355
2017-08-21,276.354483
2017-08-22,269.698252
2017-08-23,267.175371
2017-08-24,263.823981
2017-08-25,258.193407
2017-08-26,249.883478
2017-08-27,265.9749
2017-08-28,278.552787
2017-08-29,279.329759
2017-08-30,278.47407
2017-08-31,275.537711
2017-09-01,272.53558
2017-09-02,267.377115
2017-09-03,304.274194
2017-09-04,311.914361
2017-09-05,301.886636
2017-09-06,294.794049
2017-09-07,321.432958
2017-09-08,268.786601
2017-09-09,254.016506
2017-09-10,273.12789
2017-09-11,279.97152
2017-09-12,276.833327
2017-09-13,272.077768
2017-09-14,274.727175
2017-09-15,269.033086
2017-09-16,257.156505
2017-09-17,274.795196
2017-09-18,293.044703
2017-09-19,283.979011
2017-09-20,276.374458
2017-09-21,275.517298
2017-09-22,262.087403
2017-09-23,251.834644
2017-09-24,267.269173
2017-09-25,281.375756
2017-09-26,278.308925
2017-09-27,281.623406
2017-09-28,283.794577
2017-09-29,265.088833
2017-09-30,255.469601
2017-10-01,277.446607
2017-10-02,296.611869
2017-10-03,297.192785
2017-10-04,286.898607
2017-10-05,281.575277
2017-10-06,263.30461
2017-10-07,258.675656
2017-10-08,277.189402
2017-10-09,295.484472
2017-10-10,290.727561
2017-10-11,284.981252
2017-10-12,277.200931
2017-10-13,275.106009
2017-10-14,282.176416
2017-10-15,307.467332
2017-10-16,321.32699
2017-10-17,313.099256
2017-10-18,299.337864
2017-10-19,296.299898
2017-10-20,300.642295
2017-10-21,287.816629
2017-10-22,308.529531
2017-10-23,321.685775
2017-10-24,329.737695
2017-10-25,317.105794
